Designator,Mid X,Mid Y,Rotation,Layer
C1,160.5,-70.5,270.0,top
C10,134.5,-74.5,0.0,top
C2,158.5,-71.0,270.0,top
C3,162.5,-70.0,270.0,top
C4,134.0,-78.82,270.0,top
C5,165.18,-83.32,90.0,top
C6,157.5,-66.0,180.0,top
C7,135.5,-63.0,90.0,top
C8,133.5,-63.0,90.0,top
C9,139.0,-73.82,180.0,top
D1,148.5,-77.5,180.0,top
D2,143.4025,-72.38875,0.0,top
F1,164.5,-70.0,90.0,top
J2,139.5,-87.5,0.0,top
J3,153.5,-87.5,0.0,top
J4,146.5,-60.0,180.0,top
J5,123.0,-71.5,270.0,top
J6,174.0,-71.5,90.0,top
R1,173.0,-65.0,0.0,top
R2,173.0,-78.0,180.0,top
R3,148.5,-76.0,0.0,top
R4,133.0,-83.32,90.0,top
R5,145.5,-84.0,270.0,top
R6,147.18,-84.0,90.0,top
R7,160.68,-84.82,270.0,top
R8,143.4025,-70.88875,180.0,top
U1,155.5,-74.5,270.0,top
U2,166.95,-69.0,90.0,top
U3,139.5,-78.5,270.0,top
U4,153.5,-79.32,270.0,top
U6,147.5,-68.0,90.0,top
U7,164.5,-74.0,180.0,top
U8,136.98,-70.045,180.0,top
Y1,154.5,-69.5,0.0,top
